"","id","name","type","score2011","rank2011","score2009","rank2009","change","rankchange","nameWordCount","hasAcademy"
"198",1168,"Henry Hudson Senior Public School","Elementary",0.6088,198,0.6258,184,-0.017,14,5,FALSE
"199",1321,"Gledhill Junior Public School","Elementary",0.6074,199,0.5848,208,0.0226000000000001,-9,4,FALSE
"200",1149,"Ellesmere-Statton Public School","Elementary",0.6057,200,0.5639,218,0.0418000000000001,-18,3,FALSE
"201",1287,"Church Street Junior Public School","Elementary",0.605,201,0.5945,202,0.0105,-1,5,FALSE
"202",181,"Rene Gordon Elementary School","Elementary",0.6043,202,0.598,199,0.00629999999999997,3,4,FALSE
"203",1094,"Westway Junior School","Elementary",0.5984,203,0.5208,236,0.0776,-33,3,FALSE
"204",120,"Fenside Public School","Elementary",0.598,204,0.5533,224,0.0447,-20,3,FALSE
"205",1194,"Lucy Maud Montgomery Public School","Elementary",0.5967,205,0.6139,192,-0.0172,13,5,FALSE
"206",1142,"Donwood Park Junior Public School","Elementary",0.5957,206,0.6666,163,-0.0709,43,5,FALSE
"207",1027,"Albion Heights Junior Middle School","Elementary",0.5949,207,0.5227,235,0.0721999999999999,-28,5,FALSE
"208",138,"Glen Park Public School","Elementary",0.5899,208,0.5672,216,0.0226999999999999,-8,4,FALSE
"209",1039,"Eatonville Junior School","Elementary",0.5888,209,0.5034,248,0.0854,-39,3,FALSE
"210",1342,"Jesse Ketchum Junior and Senior Public School","Elementary",0.587,210,0.5064,245,0.0806,-35,7,FALSE
"211",1024,"Victoria Park Elementary School","Elementary",0.5846,211,0.6203,189,-0.0357,22,4,FALSE
"212",70,"Charles H Best Middle School","Elementary",0.5814,212,0.4623,266,0.1191,-54,5,FALSE
"213",1052,"Islington Junior Middle School","Elementary",0.5796,213,0.5202,237,0.0594,-24,4,FALSE
"214",1036,"Claireville Junior School","Elementary",0.5775,214,0.6267,183,-0.0492,31,3,FALSE
"215",1258,"William G Miller Junior Public School","Elementary",0.5773,215,0.6152,191,-0.0378999999999999,24,6,FALSE
"216",1048,"Hilltop Middle School","Elementary",0.5764,216,0.5313,232,0.0451,-16,3,FALSE
"217",1162,"Golf Road Junior Public School","Elementary",0.5746,217,0.5779,212,-0.00329999999999997,5,5,FALSE
